0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,characters
-0.30964568,-0.21607591,-0.2270006,0.271314,0.11369136,-0.0055444627,0.49338335,0.2356101,0.13819605,-0.39889356,-0.42216244,-0.41240406,-0.045901064,-0.09756525,-0.38769493,-0.37160525,0.5359196,-0.04601528,-0.5265912,-0.2153034,Hobbits
-0.28580815,-0.59698087,0.8290639,0.90657604,0.7913328,0.40513825,1.0952021,0.7967586,0.31619498,0.2640092,-0.6842955,0.049511354,0.3471349,0.10020994,0.055729605,0.13754459,0.811983,-1.3613533,-1.0756067,-0.11310126,Elves
-0.47480682,-0.350546,-0.14734979,0.34495842,-0.083110966,0.103236474,0.5473786,0.17120682,0.12051995,-0.33201066,-0.04551619,-0.4857904,-0.311931,-0.02244746,-0.38895774,-0.41408122,0.46760362,-0.14947824,-0.7318949,-0.062245954,Dwarves
0.39358628,-0.31974044,0.07420206,0.6160994,0.27164334,-0.17399018,0.38644186,0.7471428,0.5093756,0.7724362,0.037022073,0.078654036,-0.52976066,-0.03583346,-0.6070065,0.61637694,-0.9998248,-0.77667946,-0.26444826,1.1835656,Bilbo
-0.0948054,-0.4929538,1.306852,-0.3688654,0.8535518,-0.21579243,1.0840257,-0.25001234,0.013520158,0.87235785,1.6638077,0.47250456,-1.0053891,-0.4355225,-0.29048756,1.1810813,-0.4643748,-0.4316531,-0.63543284,0.5863494,Frodo
0.373363,-0.8197285,0.70333064,-0.5913781,-0.123032205,0.6366259,0.34729627,0.8208875,-0.049630493,1.9132128,-0.33843264,-0.6569729,0.0155614205,-1.0091552,0.5096022,0.5117719,-0.5105218,0.041048754,-0.9954367,0.90167844,Gandalf
0.34467065,-0.35455528,-0.057025563,0.5158973,0.3003705,0.21216048,0.38771766,0.047855996,0.6549244,1.0231177,0.28390715,-0.26070136,-0.6261044,-0.13765359,0.97328794,0.38237128,-0.018098796,-0.562545,0.029534966,-0.49965164,Orcs
-0.61084205,-0.37558362,0.24346095,0.06771288,0.5097071,-0.5966731,0.6031169,-0.05290524,-0.47362489,0.31586862,0.06510563,-0.48230076,-0.29855883,-0.569162,0.08991939,0.3171007,-0.69161355,0.25099695,-0.37301806,0.82114613,Gollum
-0.29053715,0.092937924,0.1400604,-0.59400773,0.033292502,-0.06685772,-0.016673723,-0.3451561,-0.27289328,-0.3350852,0.7848726,0.3137985,-0.7690266,-0.07546238,-0.16772315,0.388346,0.03636132,0.19859883,0.36552414,0.18252191,the Sackville-Bagginses
-0.4440305,0.14398268,-0.16482688,-0.38321355,0.16651891,-0.118815616,-0.042297393,-0.46745107,-0.368677,-0.5708388,0.5632519,0.08047154,-0.80930084,-0.11822363,0.07470842,0.39607725,-0.20419417,0.461655,0.67249346,0.27160734,Otho
-0.5355945,-0.16981827,0.10829833,-0.46787557,0.23531204,-0.18604042,0.07325184,-0.5426207,-0.52952176,-0.30991527,0.75575924,0.28837982,-0.9131797,-0.27468413,0.24738331,0.41583413,-0.21422938,0.19398634,0.3835152,0.3796695,Lobelia
0.25357178,-0.3677805,0.605918,0.3855813,-0.49871317,0.92176986,1.4588,0.0021982621,-0.5656826,0.64488965,0.32713777,0.23145512,-0.110973485,0.31958348,0.10103943,0.24295668,-0.95990777,-0.23855105,-0.37223652,0.46126288,Merry
-0.5574806,0.03050757,-0.2193707,-0.076600194,0.24428004,-0.4586777,0.31319022,-0.18363726,-0.24492465,-0.21934521,-0.123772,-0.35775453,-0.06880964,-0.35213435,-0.0036560853,0.22779784,-0.23024687,0.49286786,-0.0020233458,0.38489285,Déagol
